week_starting_date,fbig_spend,fbig_imp
1/7/2019,0,0
1/14/2019,0,0
1/21/2019,0,0
1/28/2019,0,0
2/4/2019,0,0
2/11/2019,0,0
2/18/2019,0,0
2/25/2019,0,0
3/4/2019,0,0
3/11/2019,0,0
3/18/2019,0,0
3/25/2019,0,0
4/1/2019,0,0
4/8/2019,0,0
4/15/2019,0,0
4/22/2019,0,0
4/29/2019,6283.43468,526737.666
5/6/2019,18912.86293,1500843.631
5/13/2019,8320.434234,625166.7263
5/20/2019,4241.990412,329951.039
5/27/2019,0,0
6/3/2019,13444.23715,0
6/10/2019,17661.09506,0
6/17/2019,5969.195235,0
6/24/2019,6456.33976,0
7/1/2019,6404.138003,1588772.573
7/8/2019,7229.553695,1887977.912
7/15/2019,29253.10796,6397122.919
7/22/2019,15597.01869,1931496.02
7/29/2019,33752.82374,9125491.618
8/5/2019,28119.24798,9195219.169
8/12/2019,31541.16392,10115126.47
8/19/2019,32550.92747,10080579.12
8/26/2019,52784.42676,9932985.085
9/2/2019,40161.97387,10354802.89
9/9/2019,39481.06626,9134393.909
9/16/2019,47394.17548,8910809.624
9/23/2019,45551.63882,6922987.152
9/30/2019,39598.59965,6257458.254
10/7/2019,39583.24931,5913265.214
10/14/2019,38817.12801,6191308.415
10/21/2019,45228.91092,9552643.463
10/28/2019,36823.48239,8425351.443
11/4/2019,49799.40547,8363593.738
11/11/2019,90195.70093,11362335.01
11/18/2019,111706.4902,12563465.65
11/25/2019,92894.27075,9726746.914
12/2/2019,84187.22954,6534955.606
12/9/2019,96622.54291,6038121.603
12/16/2019,121188.667,7915449.222
12/23/2019,113183.728,10038153.09
12/30/2019,47057.86756,5195264.85
1/6/2020,37469.95954,6206210.881
1/13/2020,47759.55374,6810030.872
1/20/2020,43278.57385,4612821.857
1/27/2020,41096.42315,3677255.92
2/3/2020,42225.59254,3462508.862
2/10/2020,43195.05482,4763190.909
2/17/2020,35687.74238,4820510.708
2/24/2020,31754.10926,4126601.077
3/2/2020,26234.53759,4193446.561
3/9/2020,36036.60899,6855203.927
3/16/2020,30266.59372,7171340.414
3/23/2020,12167.20817,3148545.935
3/30/2020,8522.239416,1908037.004
4/6/2020,17590.40727,3000630.366
4/13/2020,37412.17517,8024097.343
4/20/2020,33268.3243,5715583.97
4/27/2020,21656.99657,4290087.144
5/4/2020,20005.02584,3243721.086
5/11/2020,18207.29511,4203465.516
5/18/2020,9075.532774,1752840.803
5/25/2020,8405.992122,1476162.035
6/1/2020,10202.03515,2204792.265
6/8/2020,14917.12541,2186651.02
6/15/2020,20349.83349,2135870.059
6/22/2020,29359.01917,3251466.238
6/29/2020,17111.53499,3265446.852
7/6/2020,6121.468929,1903040.767
7/13/2020,1170.91945,427950.0022
7/20/2020,5976.914684,1223861.11
7/27/2020,15273.50382,3561133.868
8/3/2020,24709.9533,4777560.01
8/10/2020,34967.09566,6251010.959
8/17/2020,40540.63282,6501338.809
8/24/2020,40451.00755,7468074.87
8/31/2020,40243.33269,8210405.035
9/7/2020,35125.49597,8182361.343
9/14/2020,33363.24118,5137817.195
9/21/2020,51769.62442,7471089.711
9/28/2020,30047.12081,3843888.467
10/5/2020,23067.86354,2760476.562
10/12/2020,15923.85938,2004294.774
10/19/2020,31535.25097,6219106.607
10/26/2020,45187.16737,8803723.394
11/2/2020,32041.23397,8947919.777
11/9/2020,57237.28847,13490757.24
11/16/2020,64952.87029,13904400.93
11/23/2020,79074.80797,14065397.2
11/30/2020,90946.38405,13927095.83
12/7/2020,93958.40318,15570217.24
12/14/2020,95475.53175,14534332.77
12/21/2020,72103.44663,13070483.92
12/28/2020,18749.43411,4416851.923
