week_starting_date,youtube_video_imp
1/7/2019,532627.153
1/14/2019,363528.0914
1/21/2019,355039.5218
1/28/2019,596112.9866
2/4/2019,2251435.041
2/11/2019,2549329.028
2/18/2019,1120415.988
2/25/2019,901653.6962
3/4/2019,885470.6078
3/11/2019,1072549.25
3/18/2019,1485778.809
3/25/2019,1261825.234
4/1/2019,776745.5416
4/8/2019,731250.7597
4/15/2019,4236796.123
4/22/2019,8522927.277
4/29/2019,4777250.986
5/6/2019,0
5/13/2019,0
5/20/2019,0
5/27/2019,0
6/3/2019,0
6/10/2019,0
6/17/2019,0
6/24/2019,0
7/1/2019,0
7/8/2019,0
7/15/2019,0
7/22/2019,620485.7602
7/29/2019,1020849.273
8/5/2019,923289.9894
8/12/2019,830348.437
8/19/2019,753574.6781
8/26/2019,1911183.602
9/2/2019,4101108.377
9/9/2019,7846668.045
9/16/2019,7851876.535
9/23/2019,7746669.892
9/30/2019,4541012.564
10/7/2019,3370293.517
10/14/2019,3368458.788
10/21/2019,3517644.761
10/28/2019,2459006.696
11/4/2019,2877396.311
11/11/2019,2411816.749
11/18/2019,2148885.855
11/25/2019,2321208.279
12/2/2019,3170355.839
12/9/2019,6767753.005
12/16/2019,4030850.806
12/23/2019,910323.2533
12/30/2019,0
1/6/2020,0
1/13/2020,0
1/20/2020,0
1/27/2020,0
2/3/2020,4438657.749
2/10/2020,5253388.365
2/17/2020,6052733.767
2/24/2020,819438.8406
3/2/2020,2001719.422
3/9/2020,2343335.278
3/16/2020,2709215.57
3/23/2020,924553.0784
3/30/2020,0
4/6/2020,4278470.411
4/13/2020,5679895.015
4/20/2020,4038412.133
4/27/2020,1778582.84
5/4/2020,1438400.227
5/11/2020,1028999.447
5/18/2020,857720.2502
5/25/2020,431792.8877
6/1/2020,838916.6666
6/8/2020,897652.8523
6/15/2020,2714970.208
6/22/2020,2490921.041
6/29/2020,1631861.228
7/6/2020,1294396.615
7/13/2020,1197434.463
7/20/2020,3373968.073
7/27/2020,5092875.377
8/3/2020,20486123.96
8/10/2020,302536138.3
8/17/2020,9106172.943
8/24/2020,11550366.7
8/31/2020,3541117.695
9/7/2020,8996187.337
9/14/2020,3827204.796
9/21/2020,1630085.129
9/28/2020,2621811.98
10/5/2020,3749939.057
10/12/2020,3407058.837
10/19/2020,3277065.826
10/26/2020,3236990.473
11/2/2020,5301722.229
11/9/2020,6852161.379
11/16/2020,7774496.723
11/23/2020,5872779.916
11/30/2020,5322599.522
12/7/2020,5529198.688
12/14/2020,4305102.342
12/21/2020,3900102.618
12/28/2020,1939259.609
