week_starting_date,fbig_spend,fbig_imp
2019-01-07,0.0,0.0
2019-01-14,0.0,0.0
2019-01-21,0.0,0.0
2019-01-28,0.0,0.0
2019-02-04,0.0,0.0
2019-02-11,0.0,0.0
2019-02-18,0.0,0.0
2019-02-25,0.0,0.0
2019-03-04,0.0,0.0
2019-03-11,0.0,0.0
2019-03-18,0.0,0.0
2019-03-25,0.0,0.0
2019-04-01,0.0,0.0
2019-04-08,0.0,0.0
2019-04-15,0.0,0.0
2019-04-22,0.0,0.0
2019-04-29,6283.43468,526737.666
2019-05-06,18912.86293,1500843.631
2019-05-13,8320.434234,625166.7263
2019-05-20,4241.990412,329951.039
2019-05-27,0.0,0.0
2019-06-03,13444.23715,2148503.125530361
2019-06-10,17661.09506,2822392.7853503255
2019-06-17,5969.195235,953928.0270207401
2019-06-24,6456.33976,1031777.8538922858
2019-07-01,6404.138003,1588772.573
2019-07-08,7229.553695,1887977.912
2019-07-15,29253.10796,6397122.919
2019-07-22,15597.01869,1931496.02
2019-07-29,33752.82374,9125491.618
2019-08-05,28119.24798,9195219.169
2019-08-12,31541.16392,10115126.47
2019-08-19,32550.92747,10080579.12
2019-08-26,52784.42676,9932985.085
2019-09-02,40161.97387,10354802.89
2019-09-09,39481.06626,9134393.909
2019-09-16,47394.17548,8910809.624
2019-09-23,45551.63882,6922987.152
2019-09-30,39598.59965,6257458.254
2019-10-07,39583.24931,5913265.214
2019-10-14,38817.12801,6191308.415
2019-10-21,45228.91092,9552643.463
2019-10-28,36823.48239,8425351.443
2019-11-04,49799.40547,8363593.738
2019-11-11,90195.70093,11362335.01
2019-11-18,111706.4902,12563465.65
2019-11-25,92894.27075,9726746.914
2019-12-02,84187.22954,6534955.606
2019-12-09,96622.54291,6038121.603
2019-12-16,121188.667,7915449.222
2019-12-23,113183.728,10038153.09
2019-12-30,47057.86756,5195264.85
2020-01-06,37469.95954,6206210.881
2020-01-13,47759.55374,6810030.872
2020-01-20,43278.57385,4612821.857
2020-01-27,41096.42315,3677255.92
2020-02-03,42225.59254,3462508.862
2020-02-10,43195.05482,4763190.909
2020-02-17,35687.74238,4820510.708
2020-02-24,31754.10926,4126601.077
2020-03-02,26234.53759,4193446.561
2020-03-09,36036.60899,6855203.927
2020-03-16,30266.59372,7171340.414
2020-03-23,12167.20817,3148545.935
2020-03-30,8522.239416,1908037.004
2020-04-06,17590.40727,3000630.366
2020-04-13,37412.17517,8024097.343
2020-04-20,33268.3243,5715583.97
2020-04-27,21656.99657,4290087.144
2020-05-04,20005.02584,3243721.086
2020-05-11,18207.29511,4203465.516
2020-05-18,9075.532774,1752840.803
2020-05-25,8405.992122,1476162.035
2020-06-01,10202.03515,2204792.265
2020-06-08,14917.12541,2186651.02
2020-06-15,20349.83349,2135870.059
2020-06-22,29359.01917,3251466.238
2020-06-29,17111.53499,3265446.852
2020-07-06,6121.468929,1903040.767
2020-07-13,1170.91945,427950.0022
2020-07-20,5976.914684,1223861.11
2020-07-27,15273.50382,3561133.868
2020-08-03,24709.9533,4777560.01
2020-08-10,34967.09566,6251010.959
2020-08-17,40540.63282,6501338.809
2020-08-24,40451.00755,7468074.87
2020-08-31,40243.33269,8210405.035
2020-09-07,35125.49597,8182361.343
2020-09-14,33363.24118,5137817.195
2020-09-21,51769.62442,7471089.711
2020-09-28,30047.12081,3843888.467
2020-10-05,23067.86354,2760476.562
2020-10-12,15923.85938,2004294.774
2020-10-19,31535.25097,6219106.607
2020-10-26,45187.16737,8803723.394
2020-11-02,32041.23397,8947919.777
2020-11-09,57237.28847,13490757.24
2020-11-16,64952.87029,13904400.93
2020-11-23,79074.80797,14065397.2
2020-11-30,90946.38405,13927095.83
2020-12-07,93958.40318,15570217.24
2020-12-14,95475.53175,14534332.77
2020-12-21,72103.44663,13070483.92
2020-12-28,18749.43411,4416851.923
