week_starting_date,youtube_video_imp
2019-01-07,532627.153
2019-01-14,363528.0914
2019-01-21,355039.5218
2019-01-28,596112.9866
2019-02-04,2251435.041
2019-02-11,2549329.028
2019-02-18,1120415.988
2019-02-25,901653.6962
2019-03-04,885470.6078
2019-03-11,1072549.25
2019-03-18,1485778.809
2019-03-25,1261825.234
2019-04-01,776745.5416
2019-04-08,731250.7597
2019-04-15,4236796.123
2019-04-22,8522927.277
2019-04-29,4777250.986
2019-05-06,0.0
2019-05-13,0.0
2019-05-20,0.0
2019-05-27,0.0
2019-06-03,0.0
2019-06-10,0.0
2019-06-17,0.0
2019-06-24,0.0
2019-07-01,0.0
2019-07-08,0.0
2019-07-15,0.0
2019-07-22,620485.7602
2019-07-29,1020849.273
2019-08-05,923289.9894
2019-08-12,830348.437
2019-08-19,753574.6781
2019-08-26,1911183.602
2019-09-02,4101108.377
2019-09-09,7846668.045
2019-09-16,7851876.535
2019-09-23,7746669.892
2019-09-30,4541012.564
2019-10-07,3370293.517
2019-10-14,3368458.788
2019-10-21,3517644.761
2019-10-28,2459006.696
2019-11-04,2877396.311
2019-11-11,2411816.749
2019-11-18,2148885.855
2019-11-25,2321208.279
2019-12-02,3170355.839
2019-12-09,6767753.005
2019-12-16,4030850.806
2019-12-23,910323.2533
2019-12-30,0.0
2020-01-06,0.0
2020-01-13,0.0
2020-01-20,0.0
2020-01-27,0.0
2020-02-03,4438657.749
2020-02-10,5253388.365
2020-02-17,6052733.767
2020-02-24,819438.8406
2020-03-02,2001719.422
2020-03-09,2343335.278
2020-03-16,2709215.57
2020-03-23,924553.0784
2020-03-30,0.0
2020-04-06,4278470.411
2020-04-13,5679895.015
2020-04-20,4038412.133
2020-04-27,1778582.84
2020-05-04,1438400.227
2020-05-11,1028999.447
2020-05-18,857720.2502
2020-05-25,431792.8877
2020-06-01,838916.6666
2020-06-08,897652.8523
2020-06-15,2714970.208
2020-06-22,2490921.041
2020-06-29,1631861.228
2020-07-06,1294396.615
2020-07-13,1197434.463
2020-07-20,3373968.073
2020-07-27,5092875.377
2020-08-03,20486123.96
2020-08-10,7851355.686
2020-08-17,9106172.943
2020-08-24,11550366.7
2020-08-31,3541117.695
2020-09-07,8996187.337
2020-09-14,3827204.796
2020-09-21,1630085.129
2020-09-28,2621811.98
2020-10-05,3749939.057
2020-10-12,3407058.837
2020-10-19,3277065.826
2020-10-26,3236990.473
2020-11-02,5301722.229
2020-11-09,6852161.379
2020-11-16,7774496.723
2020-11-23,5872779.916
2020-11-30,5322599.522
2020-12-07,5529198.688
2020-12-14,4305102.342
2020-12-21,3900102.618
2020-12-28,1939259.609
